food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
valencia peanuts roasted,177,15.4,4.9,0,8.1,2.7,0,0.5
nesfit diet cereal nestle,75,0,0,0,0,0,0,0
corn grits cooked,182,1.2,37.9,0.3,4.4,2.1,0,1.5
amaranth flakes,134,2.7,27,0.2,5.9,3.6,0,0.7
granola,293,14.6,32.3,11.9,8.2,5.3,0,2.4
muesli with fruit nuts,231,3.4,45.7,14.2,4.3,5.8,0,5.9
muesli master crumble,124,2.4,4.5,0.042,2.4,0,0,0
bran flakes,131,0.8,32.2,7.4,4,7.3,0,0.3
nut cereal,245,5.9,46.2,17.2,4,3.6,0,10.3
corn flakes,108,0.3,24.6,2.2,1.7,0.8,0,0.083
corn grits dry,36,0.2,7.7,0.008,0.7,0.4,0,0.3
margarine with yoghurt,88,9.8,0.073,0,0.058,0,0,0.027
sunflower seed butter,99,8.8,3.7,1.7,2.8,0.9,0,0.7
hazelnut oil,120,13.6,0,0,0,0,0,0
menhaden fish oil,1966,218,0,0,0,0,1135.8,0
cod liver fish oil,123,13.6,0,0,0,0,77.5,0
sardine oil,123,13.6,0,0,0,0,96.6,0
cupu assu oil,120,13.6,0,0,0,0,0,0
lard,115,12.8,0,0,0,0,12.2,0
sesame butter,94,8.1,3.8,0,2.9,0.9,0,3.1
margarine spread,59,6.7,0.1,0,0.082,0,0.1,0.078
lard vegetable oil,115,12.8,0,0,0,0,7.2,0
shortening,113,12.8,0,0,0,0,0,0
vegetable oil spread,75,8.4,0.1,0,0.007,0,0.1,0
cottonseed oil,120,13.6,0,0,0,0,0,0
vegetable oil spread fat free,6,0.5,0.4,0,0.2,0,0.2,0.041
soy margarine,88,9.9,0,0,0,0,0,0
margarine with salt,100,11.3,0.017,0,0.031,0,0,0
margarine,102,11.5,0.018,0,0.037,0,0,0
salmon fish oil,123,13.6,0,0,0,0,66,0
nutmeg butter oil,1927,218,0,0,0,0,0,0
almond butter,98,8.9,3,0.7,3.4,1.6,0,0.6
sour cream shoprite,60,5,1,0.014,0,0,0,0
ucuhuba butter oil,120,13.6,0,0,0,0,0,0
chicken fat,115,12.8,0,0,0,0,10.9,0
herring fish oil,123,13.6,0,0,0,0,104.2,0
bacon grease,39,4.3,0,0,0,0,4.1,0
turkey fat,45,5,0,0,0,0,5.1,0
beef tallow,115,12.8,0,0,0,0,14,0
goose fat,45,5,0,0,0,0,5,0
duck fat,44,5,0,0,0,0,5,0
mutton tallow,45,5,0,0,0,0,5.1,0
grapeseed oil,120,13.6,0,0,0,0,0,0
sheanut oil,1927,218,0,0,0,0,0,0
almond oil,120,13.6,0,0,0,0,0,0
sunflower oil,120,13.6,0,0,0,0,0,0
cashew butter,94,7.9,4.4,0.8,2.8,0.3,0,0.8
canola oil,124,14,0,0,0,0,0,0
babassu oil,1927,218,0,0,0,0,0,0
teaseed oil,120,13.6,0,0,0,0,0,0
avocado oil,124,14,0,0,0,0,0,0
vegetable palm kernel oil,117,13.6,0,0,0,0,0,0
coconut oil,117,13.6,0,0,0,0,0,0
safflower oil,120,13.6,0,0,0,0,0,0
vegetable oil,120,13.6,0,0,0,0,0,0
apricot kernel oil,40,4.5,0,0,0,0,0,0
peanut oil,119,13.5,0,0,0,0,0,0.004
poppyseed oil,120,13.6,0,0,0,0,0,0
flaxseed oil,120,13.6,0,0,0.086,0,0,0
tomatoseed oil,1927,218,0,0,0,0,0,0
wheat germ oil,120,13.6,0,0,0,0,0,0
sesame oil,40,4.5,0,0,0,0,0,0
corn granola oil,124,14,0,0,0,0,0,0
cocoa butter oil,120,13.6,0,0,0,0,0,0
olive oil,119,13.5,0,0,0,0,0,0.092
palm kernel oil,40,4.5,0,0,0,0,0,0
mustard oil,124,14,0,0,0,0,0,0
rice bran oil,120,13.6,0,0,0,0,0,0.001
vegetable macaroni dry,308,0.9,62.9,0,11,3.6,0,3.6
chow mein noodles,257,9.9,37.5,0.5,5.9,1.5,0,2.6
chinese noodles,456,0.094,111.9,0,0.2,0.7,0,0.1
vegetable macaroni cooked,172,0.1,35.7,1.5,6.1,5.8,0,0.7
corn pasta dry,375,2.2,83.2,0,7.8,11.6,0,1
egg noodles dry,146,1.7,27.1,0.7,5.4,1.3,31.9,0.7
whole wheat spaghetti dry,98,0.4,21.2,0,4.1,0,0,1
japanese soba noodles dry,95,0.2,21.1,0,4.1,0,0,0.8
rice noodles dry,103,0.2,23.6,0,1,0.5,0,0.2
spinach spaghetti dry,105,0.4,21.2,0.8,3.8,3,0,0.6
egg noodles cooked,110,1.7,20.1,0.3,3.6,1,23.2,0.051
japanese somen noodles cooked,231,0.3,48.5,0,7,0,0,0.9
whole wheat macaroni dry,365,1.5,78.8,0,15.4,8.7,0,3.8
pasta marinara and ground beef sauce,41,1.6,4.1,1,2.5,0.5,0.2,0
macaroni raw,390,1.6,78.4,2.8,13.7,3.4,0,3.5
spaghetti dry,105,0.4,21.1,0.8,3.7,0.9,0,0.9
fusilli cucina,100,0.4,3.4,0.041,0,0,0,0
japanese somen noodles dry,101,0.2,21,0,3.2,1.2,0,0.4
pasta cooked,301,2.4,57.3,0,11.8,0,75.9,2.6
macaroni cooked,221,1.3,43.2,0.8,8.1,2.5,0,0.1
spinach egg noodles dry,145,1.7,26.7,0,5.6,2.6,36.1,1.6
japanese soba noodles cooked,113,0.1,24.4,0,5.8,0,0,0.5
rice noodles cooked,190,0.4,42.3,0.052,3.2,1.8,0,0.2
whole wheat macaroni cooked,174,0.8,37.2,1.1,7.5,3.9,0,1.5
spaghetti cooked,363,2.1,71,1.3,13.3,4.1,0,0.2
whole wheat spaghetti cooked,174,0.8,37.2,1.1,7.5,6.3,0,1.5
waffle,218,10.6,24.7,0,5.9,0,51.8,1.7
baked taco shell,61,2.7,8.3,0.2,0.8,0.9,0,0.2
puff pastry,1367,94.3,112,1.8,18.1,3.7,0,6.4
blueberry muffin,214,9.2,30.2,17.9,2.6,0.6,17.1,0.063
bread crumbs,427,5.7,77.7,6.7,14.4,4.9,0,5.2
warm cinnamon roll mcdonalds,113,5.1,15,7,2,0.5,16.4,0.5
corn muffin,201,5.5,33.7,11.7,3.9,2.2,17.2,1.9
tortilla,467,1.9,98.4,5.4,14.3,4.7,0,7.5
croutons seasoned,186,7.3,25.4,1.8,4.3,2,2.8,1.1
buttermilk waffle,102,3.1,16,1.5,2.4,0.9,4.3,2.2
flour tortilla,146,3.7,24.1,1.3,3.9,1.2,0,1.6
glazed donut,55,3,6.2,3,0.8,0.3,3.9,0.3
corn tortilla,52,0.7,10.7,0.2,1.4,1.5,0,0.3
muffin,169,6.5,23.6,0,3.9,1.5,22.2,1.4
croutons,33,0.5,5.9,0,1,0.4,0,0.3
donut with jelly filling,289,15.9,33.2,17.9,5,0.8,22.1,1.5
sweet cinnamon rolls,309,13.6,42.2,26.3,5.1,2,54.8,1.3
oat bran muffin,46,1.3,8.2,1.4,1.2,0.8,0,0.7
french cruller donut,169,7.5,24.4,14.4,1.3,0.5,4.5,1
pancakes,86,3.7,10.8,0,2.4,0,22.4,0.7
chocolate donut,250,11.9,34.4,19.2,2.7,1.3,34.2,1.4
sweet cheese rolls,238,12.1,28.8,0,4.7,0.8,50.2,0.5
eclair,234,19.2,11.2,2,4.4,0.4,121.5,0.9
donut with cream filling,307,20.8,25.5,12.4,5.4,0.7,20.4,1.6
fruit toaster pastry,209,5.6,37.1,14.8,2.4,0.5,0,2
donut,192,10.3,22.9,0,2.3,0.7,14.4,0.5
pancakes whole wheat,92,2.9,12.9,0,3.7,1.2,26.8,1.4
keikitos,196,10.6,22.3,10.8,2.9,0.5,0,1.1
zwieback,30,0.7,5.2,0.9,0.7,0.2,0.6,0.083
chocolate coated donut,81,4.5,9.2,4.8,0.9,0.3,3.4,0.7
waffle toasted,103,3.2,16.3,1.7,2.4,0.8,5,2.3
cinnamon toaster pastry,206,7.1,34.1,0,2.6,0.5,0,2
wheat bran bread,89,1.2,17.2,3.5,3.2,1.4,0,1.1
white bread,77,1,14.3,1.6,2.6,0.8,0,0.04
oat bran bread,71,1.3,11.9,2.3,3.1,1.4,0,0.9
whole wheat bread natures own,50,1,0,0,0,0,0,0
high protein bread dr zaks,152,3,15.3,0.6,0,0,0,0
wheat bread,79,1.3,13.8,1.7,3.1,1.2,0,0.066
egg bread toasted,117,2.4,19.5,0.7,3.9,0.9,20.7,1.2
butter toastbrot ja,66,0.9,2,0.4,0,0,0,0
vienna bread toasted,93,0.6,18,1,3.8,0.9,0,1.1
vienna bread,92,0.6,18.1,0.8,3.8,0.8,0,1.2
protein bread,47,0.4,8.3,0.3,2.3,0.6,0,0.8
banana bread,186,6,31.1,0,2.5,0.6,24.5,0.8
rice bran bread,66,1.2,11.7,1.3,2.4,1.3,0,1
white fibre wonder bread,95,1,18,2,3.5,1.5,0.1,0
focaccia,142,4.5,20.4,1,5,1,0,1.8
oat bran bread toasted,70,1.3,11.8,2.3,3.1,1.3,0,0.9
rye bread,83,1.1,15.5,1.2,2.7,1.9,0,0.9
wheat germ bread,73,0.8,13.5,1,2.7,0.6,0,1
protein bread toasted,46,0.4,8.2,0.2,2.2,0.6,0,0.8
oatmeal bread,73,1.2,13.1,2.2,2.3,1.1,0,0.7
arepa,215,5.3,36.4,0.9,5.4,2.5,4.9,1
raisin bread toasted,86,1.4,16.5,1.8,2.5,1.4,0,0.9
cracked wheat bread,74,1.1,14,0,2.5,1.6,0,0.8
garlic bread,151,7.1,17.9,1.6,3.6,1.1,0,1.3
rye bread toasted,82,1,15.4,1.2,2.7,1.9,0,0.9
whole wheat bread,128,2.5,23.6,1.8,3.9,2.8,0,1.4
whole wheat bread toasted,128,2.5,23.7,1.8,3.9,2.8,0,1.4
pan dulce bread,231,7.3,35.5,7.9,5.9,1.4,18.9,1.8
rice bran bread toasted,66,1.3,11.8,1.3,2.4,1.3,0,1
pita bread whole wheat,74,0.7,15.4,0.2,2.7,2.1,0,0.9
wheat germ bread toasted,73,0.8,13.6,1,2.7,0.6,0.3,1
pumpernickel bread,65,0.8,12.4,0.1,2.3,1.7,0,0.7
frybread,502,18.6,73.4,3.1,10.2,0,10.6,6.1
white bread toasted,83,1.1,15.4,1.3,2.5,0.7,0.3,0.9
piki bread,109,2,20.2,0.4,2.5,2.6,0,1.7
wheat bread toasted,75,1,13.4,1.5,3.1,1.1,0,1
pita bread,165,0.7,33.4,0.8,5.5,1.3,0,1.6
potato bread,85,1,15.1,3,4,2,0,0.072
egg bread,115,2.4,19.1,0.7,3.8,0.9,20.4,1.2
oatmeal bread toasted,73,1.2,13.2,2.2,2.3,1.1,0,0.7
cheese bread,196,10,21.5,1,5,1,4.8,1.2
pumpernickel bread toasted,80,1,15.1,0.2,2.8,2.1,0,0.9
raisin bread,88,1.4,16.7,1.8,2.5,1.4,0,0.9
pumpernickel roll,77,0.8,14.8,0.1,3,1.5,0,0.8
cinnamon raisin bagel,71,0.4,14.4,1.6,2.5,0.6,0,1
english muffin,127,1.1,25.5,0.9,5,2.6,0,1.6
rye dinner roll,123,1.5,22.8,0.5,4.4,2.1,0,1.2
english muffin whole wheat,134,1.4,26.7,5.3,5.8,4.4,0,1.6
dinner roll whole wheat,74,1.3,14.3,2.4,2.4,2.1,0,0.7
dinner roll,76,1.8,12.9,0.5,2.4,1.1,0,1
hotdog roll,117,1.6,21.1,3.1,4.1,0.8,0,0.095
bagel,245,1.5,47.9,6,10,4,0,0.2
oat bran bagel,176,0.8,36.8,1.1,7.4,2.5,0,2.1
pain au chocolat de la boulangerie,235,12,0,0,0,0,0,0
egg bagel,72,0.5,13.8,0,2.8,0.6,6.2,1
english muffin toasted,140,1.1,27.4,1.8,5.4,1.5,0,2.4
english muffin whole wheat toasted,135,1.4,26.9,5.4,5.9,4.5,0,1.6
biscuit,357,16.5,45,2.2,7.1,1.5,3,2.9
french roll,105,1.6,19.1,0.1,3.3,1.2,0,1
oat bran dinner roll,78,1.5,13.3,2.2,3.1,1.4,0,1.4
pecan shortbread cookies,76,4.6,8.2,0,0.7,0.3,4.6,0.3
oatmeal cookies,113,4.5,17.2,6.2,1.6,0.7,0,0.6
chocolate wafers,485,15.9,81.1,33.2,7.4,3.8,2.2,4.5
vanilla wafers low fat,353,12.2,58.9,30,4,1.5,40.8,1.9
chocolate chip cookies mcdonalds,136,6.4,18.7,9.6,1.6,0.6,18.4,1.1
gingersnap cookies,29,0.7,5.4,1.4,0.4,0.2,0,0.4
biscotti abbracci mulino bianco,54,2.6,0.8,0.051,0.4,0,0,0
chocolate chip cookie,63,2.8,9.3,5.3,0.5,0.3,0,0.049
brownie,243,9.8,38.3,22,2.9,1.3,10.2,1.4
shortbread cookies,40,1.9,5.2,1.2,0.5,0.1,1.6,0.2
oatmeal cookies with raisins,65,2.4,10.3,0,1,0,5,0.4
peanut butter sandwich cookies,67,3,9.2,5,1.2,0.3,0,0.4
sugar cookies,72,3.2,10.2,5.7,0.8,0.1,7.7,0.3
chocolate covered graham crackers,68,3.2,9.3,5.8,0.8,0.4,0,0.5
raisin cookies,60,2,10.2,7.1,0.6,0.2,0.3,0.3
vanilla wafers,28,1.2,4.3,0,0.3,0.1,0,0.1
graham crackers,355,8.5,64.5,26.1,5.8,2.4,0,3.1
peanut butter cookies,95,4.8,11.8,0,1.8,0,6.2,0.4
vanilla sandwich cookie,72,3,10.8,5.9,0.7,0.2,0,0.3
sugar wafers with creme filling,51,2.3,7.1,4.3,0.4,0.2,0,0.4
cheese puffs,197,12.8,18.6,1.1,2.1,0.6,2.5,0.7
saltine crackers,13,0.3,2.2,0.063,0.3,0.022,0,0.025
trail mix,139,8.8,13.5,0,4.1,0,0,0.9
corn cones,144,7.6,17.8,0,1.6,0.3,0,0.7
chocolate pretzels,50,1.8,7.8,0,0.8,0,0,0.2
french toast sticks,73,3.8,8.9,2.1,1.3,0.3,0,0.4
crackers,82,4.2,9.8,1.3,1.1,0.4,0,0.011
sesame sticks,54,3.7,4.7,0.084,1.1,0.3,0,0.055
cheese crackers,34,1.6,4.2,0.3,0.8,0.2,0.2,0.032
oriental rice cracker mix,143,7.2,14.6,0.8,4.9,3.7,0,0.7
breadsticks,103,2.4,17.1,0.3,3,0.8,0,1.1
milk crackers,50,1.7,7.7,1.8,0.8,0.2,1.2,0.4
matzo crackers whole wheat,98,0.4,22.1,0,3.7,3.3,0,1.3
matzo crackers with egg,109,0.6,22,0,3.4,0.8,23.2,0.8
granola bites,23,0.9,3.3,1.5,0.4,0.3,0,0.074
crackers whole wheat,120,4,19.5,0.3,3,2.9,0,0.9
tropical trail mix,619,23.9,91.8,0,8.8,0,0,3.7
soft pretzels,389,3.6,79.8,0.3,9.4,2,3.5,4.5
corn tostada shell,58,2.9,7.9,0,0.8,0.7,0,0.2
matzo crackers,111,0.4,23.4,0.098,2.8,0.8,0,0.9
sesame crunch,9,0.6,0.9,0.6,0.2,0.1,0,0.019
trail mix with chocolate chips,707,46.6,65.6,0,20.7,0,5.8,4.9
cracker meal,440,2,93,0.4,10.7,3,0,5.3
puffed rice,153,0.2,34.1,0,2.4,0.6,0,12
filinchen gutena,19,0.2,0.5,0.028,0.4,0,0,0
melba toast crackers,117,1,23,0.3,3.6,1.9,0,1.1
matzo crackers with egg onion,109,1.1,21.6,0,2.8,1.4,12.6,1.2
cornnuts,126,4.4,20.3,0.2,2.4,2,0,0.5
bagel chips,789,26.5,116.1,10.5,21.6,7.2,0,8.8
pretzels,115,0.9,24.1,0.7,3,1,0,0.08
potato raw,164,0.2,37.2,1.7,4.3,4.7,0,1.7
gatto di patate home made,202,9.4,4,3.6,0,0,0,0
baked potato,161,0.2,36.6,2,4.3,3.8,0,0.2
potato sticks,188,12.4,19.2,0.006,2.4,1.2,0,0.8
potato cooked,52,0.006,12.1,0.5,1.1,1.2,0,0.2
vivaldi potatoes sainsburys,23,0.1,0,0,0,0,0,0
potato ham chowder soup,192,12.5,13.4,0,6.5,1.4,21.6,1.7
russet potato raw,292,0.3,66.7,2.3,7.9,4.8,0,3.2
russet potato baked,290,0.4,64.1,3.2,7.9,6.9,0,3.2
french fries,13,0.4,2.2,0.088,0.2,0.2,0,0.076
potato scalloped,216,9,26.4,0,7,4.7,29.4,1.4
cottage fries,11,0.4,1.9,0.019,0.2,0.2,0,0.025
mashed potatoes,215,6.8,35.5,1.2,4,3.1,0,0.8
mashed potato with milk and butter,237,8.9,35.3,3,3.9,3.2,23.1,0.5
red potato raw,149,0.3,33.9,2.7,4,3.6,0,1.6
potato pancake,59,3.2,6.1,0.4,1.3,0.7,20.9,0.4
potato puffs,243,11,35.5,0.3,2.6,3.2,0,0.8
red potato baked,74,0.1,16.7,1.2,2,1.5,0,0.1
potatoes canned,132,0.3,29.7,0,3.6,4.2,0,2.2
potato skin raw,22,0.099,4.7,0,1,1,0,1.2
shoestring french fries,4,0.1,0.7,0.062,0.099,0.099,0,0.052
hash brown potato,144,9,15.3,0.3,1.4,1.4,0,0.004
baked chips lays,130,2,0,0,0,0,0,0
corn chips,162,10,17.2,0.031,1.9,1.2,0,0.021
nacho cheese tortilla chips low fat,90,1,18.5,0.8,2.4,1.8,0.6,1.4
corn chips barbecue,1036,64.7,111.3,0,13.9,10.3,0,3
corn chips unsalted,490,29.4,50.5,1.2,5.8,3.9,0,1.5
potato chips fat free,860,1.4,190.1,8.4,21.9,17,0,8.1
sweet chilli kettle baked chips,99,2.2,2.1,0.4,2,0,0,0
taro chips,11,0.6,1.6,0.04,0.049,0.2,0,0.008
potato chips reduced fat,801,35.4,113.7,0.4,12.1,10,0,2.3
onion snacks,150,6.8,19.5,1.4,2.3,1.2,0,1.1
potato chips cheese,843,46.2,98.1,0,14.5,8.8,6.8,3.1
yuca cassava chips,9,0.4,1.2,0.006,0.054,0.002,0,0.099
tortilla chips low fat,117,1.6,22.6,0.2,3.1,1.5,0,0.5
ranch flavor tortilla chips,992,48.8,124.2,6,14.2,7.9,0,2.7
potato chips,161,10.4,15.9,0.007,2.1,1.4,0,0.5
tortilla chips,142,6.2,20.3,0.2,2.1,1.6,0,0.2
sweet potato chips,149,9.1,15.9,2.5,0.8,2.5,0,0.6
nacho cheese tortilla chips,156,8.2,18.2,0.8,2.2,1.5,0,0.071
vegetable chips,134,6.6,17.1,1.1,1.5,1.3,0,0.4
taco flavor tortilla chips,1090,54.9,143.2,0,17.9,12,11.4,4.6
potato chips barbecue,970,64.2,104.5,14,15.2,8.7,0,3.8
pita chips,137,4.6,20.5,1.4,3.5,1.1,0,0.065
potato chips sour cream and onion,1051,67.1,102,0,16,10.3,13.9,3.2
adobo fresco,780,60.2,53.6,5.8,5.8,3.7,0,9.2
chili pepper sauce red,3,0.089,0.6,0.4,0.1,0.1,0,0.051
creamy ranch sauce mcdonalds,132,14.7,1,1,0.3,0,5.9,0.039
catsup,19,0.066,4.5,3.7,0.2,0.053,0,0.073
chili pepper sauce green,3,0.032,0.8,0.4,0.1,0.3,0,0.023
red wine vinegar,3,0,0.011,0,0.055,0,0,0.049
fish sauce,6,0.013,0.7,0.7,0.9,0,0,0.1
coleslaw dressing reduced fat,56,3.4,6.8,6.6,0,0.045,4.3,0.08
sour dressing,21,2,0.6,0.6,0.4,0,0.6,0.091
guava sauce cooked,86,0.3,22.6,14,0.8,8.6,0,0.4
pizza sauce,136,2.9,21.8,9.5,5.5,5,0,0.3
sweetn sour sauce mcdonalds,48,0.3,11,10,0.2,0,0,0.2
nance syrup,4,0.002,0.8,0.6,0.028,0.3,0,0.013
french dressing reduced fat,37,2.2,4.7,4.6,0.072,0.2,0,0.1
peppercorn dressing,76,8.2,0.5,0.3,0.2,0,6.6,0.055
sorghum syrup,61,0,15.7,15.7,0,0,0,0.8
ranch dressing fat free,17,0.3,3.7,0.7,0.039,0.088,1,0.1
caesar dressing low calorie,17,0.7,2.8,2.4,0.028,0.053,0.3,0.016
sweet sour dressing,2,0,0.6,0.6,0.082,0,0,0.078
mayonnaise imitation fat free,13,0.4,2.5,1.6,0.043,0.3,1.4,0.008
sofrito,488,37.5,11.2,0,26.4,3.5,0,1.9
turkey gravy instant,27,1,3.9,0.5,0.8,0.3,1.6,0.6
teriyaki sauce,16,0.015,2.8,2.5,1.1,0.016,0,0.3
tomato sauce,59,0.7,13,8.7,2.9,3.7,0,0.3
barbecue sauce kraft,28,0.053,6.5,5.2,0.1,0.032,0,0.1
cranberry sauce sweetened,418,0.4,107.8,105,0.6,2.8,0,0.6
coleslaw dressing,62,5.3,3.8,3.2,0.1,0.024,4.2,0.01
onion gravy dry,77,0.7,16.2,0,2.2,1.4,0.5,0.2
corn syrup light,62,0.09,16.9,16.9,0,0,0,0
bacon tomato dressing,49,5.3,0.3,0.3,0.3,0.04,0.6,0.057
pancake syrup,53,0.075,13.9,8.4,0,0,0,0.038
balsamic vinegar,14,0,2.7,2.4,0.041,0,0,0.1
ranch dressing reduced fat,29,1.9,3.2,0.6,0.2,0.2,2.4,0.1
barbecue sauce mcdonalds,46,0.3,10.3,9.6,0.4,0.4,0,0.1
vinegar oil dressing,72,8,0.4,0.4,0,0,0,0
poppyseed dressing,66,5.5,4,3.9,0.2,0.03,2.5,0.048
honey mustard dressing,70,6.1,3.5,2.4,0.1,0.057,4.4,0.07
french dressing fat free,21,0.024,5.1,2.6,0.01,0.4,0,0.081
vinegar,3,0,0.089,0.063,0,0,0,0.002
spray dressing,13,0.9,1.3,1.1,0.07,0.075,0,0.096
honey mustard dressing fat free,25,0.2,5.8,2.7,0.2,0.2,0.2,0.053
mushroom gravy,119,6.4,13,0,3,1,0,1.6
white sauce,368,26.6,22.9,11,9.6,0.5,17.5,0.8
marinara pasta sauce,129,3.9,19.9,14.5,3.7,4.8,5.3,2.1
tomato sauce with mushrooms,86,0.3,20.7,14.1,3.6,3.7,0,2.2
pork gravy powder,25,0.6,4.3,1.7,0.6,0.2,0.7,0.3
beef gravy,123,5.5,11.2,0.5,8.7,0.9,7,1.6
green goddess dressing,64,6.5,1.1,1,0.3,0.094,6,0.067
salsa con queso,358,23.8,27.9,4.9,7.9,1.8,22.5,0.4
cocktail sauce,19,0.2,4.2,1.8,0.2,0.3,0,0.1
worcestershire sauce,13,0,3.3,1.7,0,0,0,0.9
barbecue sauce,29,0.1,6.9,5.7,0.1,0.2,0,0.1
tomato sauce with onions,103,0.5,24.4,0,3.8,4.4,0,2.3
brown gravy dry,22,0.6,3.6,0,0.6,0.1,0.2,0.1
blue cheese dressing light,14,0.4,2.1,0.6,0.3,0,1.6,0.042
spanish tomato sauce,81,0.7,17.7,0,3.5,3.4,0,8.5
oyster sauce,9,0.066,2,0,0.2,0.024,0,0.069
cheese sauce,30,2.2,0.8,0.033,1.5,0.071,5.7,0.047
hoisin sauce,35,0.5,7.1,4.4,0.5,0.4,0.5,0.2
pickle relish,20,0.061,5.3,4.4,0.097,0.2,0,0.1
tomato sauce with herbs cheese,144,4.7,25,0,5.2,5.4,7.3,2.1
french dressing,73,7.2,2.5,2.6,0.1,0,0,0.1
mayonnaise hellmanns,15,1.7,0.087,0.2,0,0,0,0
canadian maple syrup,76,0,19.1,17,0,0,0,0.088
maple syrup,52,0.047,13.4,13.6,0.09,0,0,0.014
barbecue sauce bulls eye,27,0.1,6.4,5.6,0.1,0.2,0,0.1
ranch dressing,65,6.7,0.9,0.7,0.2,0,3.9,0.085
tomato ketchup mp,15,0,0.2,0,0,0,0,0
mayonnaise light,36,3.3,1.4,0.5,0.032,0,2.4,0.039
mayonnaise dressing,103,11.7,0.066,0.093,0,0,0,0
malt syrup,67,0,15,15,1.3,0,0,0.2
gravy dry,86,2,14.5,0,3.3,0,1,0.3
cranberry orange relish,490,0.3,127.1,0,0.8,0,0,0.6
caesar dressing,80,8.5,0.5,0.4,0.3,0.036,5.7,0.2
italian dressing,35,3.1,1.8,1.6,0.032,0,0,0.063
brown gravy instant,25,0.8,4,0.6,0.6,0.2,0.8,0.5
roquefort cheese dressing,15,1.1,0.4,0.4,0.8,0,0.2,0.069
blue cheese dressing,71,7.7,0.7,0.5,0.2,0.045,4.7,0.058
duck sauce,80,0.063,19.7,9.9,0.1,0.2,0,0.1
au jus,38,0.5,5.9,0,2.8,0,0,1.4
corn syrup dark,57,0,15.5,15.5,0,0,0,0.044
buttermilk dressing light,30,1.9,3.2,0.6,0.2,0.2,2.4,0.1
cider vinegar,3,0,0.1,0.018,0,0,0,0.052
tartar sauce,32,2.5,2,0.6,0.2,0.078,1.1,0.047
pepper hot sauce,1,0.018,0.031,0.065,0.024,0.071,0,0.035
tomato chili sauce,6,0.095,1.2,0.6,0.2,0.4,0,0.087
turkey gravy dry,26,0.5,4.6,0,0.7,0,1,0.2
salsa sauce,5,0.039,1.2,0.7,0.3,0.3,0,0.007
steak sauce,16,0.004,3.7,1.7,0.2,0.3,0,0.2
molasses,58,0.068,14.9,14.9,0,0,0,0.9
italian dressing fat free,7,0.1,1.2,1.2,0.1,0.077,0.3,0.036
plum sauce,35,0.2,8.1,0,0.2,0.1,0,0.3
chow mein stir fry master foods,26,0.2,0,0,0,0,0,0
beef gravy instant,25,0.6,4.1,1.6,0.7,0.3,0.7,0.4
horseradish,2,0.085,0.6,0.4,0.003,0.2,0,0.052
grenadine,54,0,13.4,9.3,0,0,0,0.011
tabasco sauce,1,0.002,0.006,0.067,0.045,0.013,0,0.019
sweet sour sauce,26,0.084,6.7,3.3,0.02,0.065,0,0.021
salsa verde,6,0.1,1,0.5,0.2,0.3,0,0.079
miso,40,1.2,5.1,1.2,2.6,1.1,0,0.046
sprouted soybean cooked,76,4.2,6.1,0.4,8,0.8,0,1.2
soy flour roasted,375,18.6,28.6,6.5,29.6,8.2,0,4.9
soy flour low fat,330,7.8,30.7,9.3,40,14.1,0,7.2
green soybean cooked,127,5.8,9.9,0,11.1,3.8,0,0.1
azumaya tofu vitasoy,316,16.6,9.1,1.6,32.8,2.4,0,5.1
soy proteins isolate,96,1,2.1,0,22.8,1.6,0,4.1
tofu yogurt,246,4.7,41.8,3.2,9.2,0.5,0,0.2
bacon meatless,446,42.5,9.1,0,15.4,3.7,0,3.5
meatless chicken fried,304,16.6,11.1,0,27.7,5.6,0,5
soymilk,109,4.8,8.4,6.1,7.1,1,0,0.3
soy vermicelli,463,0.1,115.2,24.4,0.1,5.5,0,2.5
tofu fried,35,2.6,1.2,0.4,2.4,0.5,0,0.051
tempeh,320,17.9,15.6,0,30.8,0,0,4.5
koyadofu,81,5.2,1.7,0,8.9,1.2,0,0.2
meatless meatloaf,110,5,4.5,0.7,11.8,2.6,0,1.2
soya vanille joghurt alpro,21,0.6,1,0.09,0.3,0,0,0
soybean curd cheese,340,18.2,15.5,3.6,28.1,0,0,12.6
soy sauce,8,0.054,0.8,0.097,1.3,0.1,0,0.031
soybean dry roasted,419,20.1,30.4,0,36.8,7.5,0,3.7
soybean oil,120,13.6,0,0,0,0,0,0.048
meatless chicken,376,21.4,6.1,0,39.7,6,0,5.5
soybean cooked,296,15.4,17.1,5.2,28.6,10.3,0,0.7
soymilk nonfat,68,0.046,10.1,8.9,6,0.5,0,0.9
soy flour,23,1.1,1.8,0.4,1.8,0.5,0,0.2
soybean lecithin oil,104,13.6,0,0,0,0,0,0
tofu raw,188,11.9,4.7,0,20,0.7,0,13.3
soy chips,109,2.1,15,0.5,7.5,1,0,1.5
green soybean raw,376,17.4,28.3,0,33.2,10.8,0,9.1
soy proteins concentrate,93,0.1,7.2,0,18,1.6,0,3.1
soybean margarine,34,3.8,0.043,0,0.052,0,0,0
chocolate soymilk nonfat,107,0.046,20.7,8.9,6,0.5,0,0.9
okara,93,2.1,15.3,0,3.9,0,0,0.2
meatless meatballs,284,13,11.5,1.8,30.2,6.6,0,3.1
vanilla soymilk,131,4.3,15.3,9.7,7.9,1.5,0,1.6
